"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","subname","question_order","gender","varimages","baseimage","baseimagestr","baseimagestr2","stimulus","response_type","key_press","avg_frame_time","center_x","center_y"
"","psychophysics","10","252747","0.0-6.0-0.0","13015","j","","","","","","","","","key","j","33.32820512820513","720","250"
"","psychophysics","11","255323","0.0-6.0-0.1","2568","f","","","","","","","","","key","f","33.31578947368421","720","250"
"","psychophysics","12","257544","0.0-6.0-0.2","2213","f","","","","","","","","","key","f","33.303030303030305","720","250"
"","psychophysics","13","259652","0.0-6.0-0.3","2101","f","","","","","","","","","key","f","33.33870967741935","720","250"
"","psychophysics","14","262949","0.0-6.0-0.4","3291","f","","","","","","","","","key","f","33.3469387755102","720","250"
"","psychophysics","15","273063","0.0-6.0-0.5","10102","f","","","","","","","","","key","f","33.33443708609271","720","250"
"","psychophysics","16","275036","0.0-6.0-0.6","1965","j","","","","","","","","","key","j","33.186440677966104","720","250"
"","psychophysics","17","276953","0.0-6.0-0.7","1906","f","","","","","","","","","key","f","33.339285714285715","720","250"
"","psychophysics","18","279891","0.0-6.0-0.8","2928","j","","","","","","","","","key","j","33.32183908045977","720","250"
"","psychophysics","19","294568","0.0-6.0-0.9","14669","f","","","","","","","","","key","f","33.32727272727273","720","250"
"","psychophysics","20","306869","0.0-6.0-0.10","12291","j","","","","","","","","","key","j","33.33152173913044","720","250"
"","psychophysics","21","309640","0.0-6.0-0.11","2762","f","","","","","","","","","key","f","33.31707317073171","720","250"
"","psychophysics","22","312954","0.0-6.0-0.12","3304","f","","","","","","","","","key","f","33.326530612244895","720","250"
"","psychophysics","23","315063","0.0-6.0-0.13","2101","f","","","","","","","","","key","f","33.32258064516129","720","250"
"","psychophysics","24","317037","0.0-6.0-0.14","1966","f","","","","","","","","","key","f","33.220338983050844","720","250"
"","psychophysics","25","318950","0.0-6.0-0.15","1904","f","","","","","","","","","key","f","33.339285714285715","720","250"
"","psychophysics","26","322691","0.0-6.0-0.16","3733","j","","","","","","","","","key","j","33.34234234234234","720","250"
"","psychophysics","27","325390","0.0-6.0-0.17","2690","f","","","","","","","","","key","f","33.2875","720","250"
"","psychophysics","28","327530","0.0-6.0-0.18","2128","j","","","","","","","","","key","j","33.25396825396825","720","250"
"","psychophysics","29","330270","0.0-6.0-0.19","2731","f","","","","","","","","","key","f","33.21951219512195","720","250"
"","psychophysics","30","332186","0.0-6.0-0.20","1908","j","","","","","","","","","key","j","33.357142857142854","720","250"
"","psychophysics","31","335883","0.0-6.0-0.21","3687","f","","","","","","","","","key","f","33.336363636363636","720","250"
