"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","subname","question_order","gender","varimages","baseimage","baseimagestr","baseimagestr2","stimulus","response_type","key_press","avg_frame_time","center_x","center_y"
"","psychophysics","60","256749","0.0-6.0-0.50","1346","j","","","","","","","","","key","j","16.66600000000035","720","250"
"","psychophysics","61","258486","0.0-6.0-0.51","1725","j","","","","","","","","","key","j","16.665999999999958","720","250"
"","psychophysics","62","260338","0.0-6.0-0.52","1846","f","","","","","","","","","key","f","16.666000000000086","720","250"
"","psychophysics","63","261910","0.0-6.0-0.53","1559","f","","","","","","","","","key","f","16.66599999999963","720","250"
"","psychophysics","64","265224","0.0-6.0-0.54","3306","f","","","","","","","","","key","f","16.666000000000086","720","250"
"","psychophysics","65","266618","0.0-6.0-0.55","1384","j","","","","","","","","","key","j","16.665999999999894","720","250"
"","psychophysics","66","267983","0.0-6.0-0.56","1360","f","","","","","","","","","key","f","16.665999999999954","720","250"
"","psychophysics","67","269337","0.0-6.0-0.57","1345","f","","","","","","","","","key","f","16.66599999999962","720","250"
"","psychophysics","68","272475","0.0-6.0-0.58","3133","j","","","","","","","","","key","j","16.665999999999773","720","250"
"","psychophysics","69","274256","0.0-6.0-0.59","1769","j","","","","","","","","","key","j","16.666000000000185","720","250"
"","psychophysics","70","276375","0.0-6.0-0.60","2114","j","","","","","","","","","key","j","16.66600000000021","720","250"
"","psychophysics","71","278389","0.0-6.0-0.61","2002","f","","","","","","","","","key","f","16.665999999999865","720","250"
"","psychophysics","72","281953","0.0-6.0-0.62","3559","j","","","","","","","","","key","j","16.666000000000036","720","250"
"","psychophysics","73","283937","0.0-6.0-0.63","1971","f","","","","","","","","","key","f","16.6660000000004","720","250"
"","psychophysics","74","285516","0.0-6.0-0.64","1573","j","","","","","","","","","key","j","16.665999999999915","720","250"
"","psychophysics","75","287985","0.0-6.0-0.65","2459","f","","","","","","","","","key","f","16.66600000000001","720","250"
"","psychophysics","76","289293","0.0-6.0-0.66","1302","j","","","","","","","","","key","j","16.666000000000086","720","250"
"","psychophysics","77","291866","0.0-6.0-0.67","2561","f","","","","","","","","","key","f","16.666000000000086","720","250"
"","psychophysics","78","295786","0.0-6.0-0.68","3914","f","","","","","","","","","key","f","16.665999999999926","720","250"
"","psychophysics","79","297657","0.0-6.0-0.69","1858","f","","","","","","","","","key","f","16.665999999999798","720","250"
"","psychophysics","80","299370","0.0-6.0-0.70","1706","f","","","","","","","","","key","f","16.665999999999723","720","250"
"","psychophysics","81","301306","0.0-6.0-0.71","1924","j","","","","","","","","","key","j","16.665999999999716","720","250"
"","psychophysics","82","302461","0.0-6.0-0.72","1148","j","","","","","","","","","key","j","16.666000000000007","720","250"
"","psychophysics","83","304684","0.0-6.0-0.73","2212","j","","","","","","","","","key","j","16.666000000000285","720","250"
"","psychophysics","84","306852","0.0-6.0-0.74","2162","j","","","","","","","","","key","j","16.666000000000373","720","250"
"","psychophysics","85","308851","0.0-6.0-0.75","1987","f","","","","","","","","","key","f","16.66600000000013","720","250"
"","psychophysics","86","310628","0.0-6.0-0.76","1770","f","","","","","","","","","key","f","16.666000000000487","720","250"
"","psychophysics","87","312134","0.0-6.0-0.77","1496","f","","","","","","","","","key","f","16.666000000000025","720","250"
"","psychophysics","88","313794","0.0-6.0-0.78","1654","f","","","","","","","","","key","f","16.665999999999816","720","250"
"","psychophysics","89","315471","0.0-6.0-0.79","1666","f","","","","","","","","","key","f","16.66600000000035","720","250"
"","psychophysics","90","317617","0.0-6.0-0.80","2140","f","","","","","","","","","key","f","16.666000000000167","720","250"
"","psychophysics","91","320070","0.0-6.0-0.81","2438","j","","","","","","","","","key","j","16.66599999999983","720","250"
"","psychophysics","92","323233","0.0-6.0-0.82","3156","f","","","","","","","","","key","f","16.665999999999748","720","250"
"","psychophysics","93","326602","0.0-6.0-0.83","3359","j","","","","","","","","","key","j","16.6659999999999","720","250"
"","psychophysics","94","328781","0.0-6.0-0.84","2173","j","","","","","","","","","key","j","16.665999999999677","720","250"
"","psychophysics","95","330547","0.0-6.0-0.85","1758","j","","","","","","","","","key","j","16.665999999999933","720","250"
"","psychophysics","96","332135","0.0-6.0-0.86","1582","f","","","","","","","","","key","f","16.665999999999915","720","250"
"","psychophysics","97","333917","0.0-6.0-0.87","1770","j","","","","","","","","","key","j","16.666000000000185","720","250"
"","psychophysics","98","335656","0.0-6.0-0.88","1733","f","","","","","","","","","key","f","16.665999999999983","720","250"
"","psychophysics","99","336968","0.0-6.0-0.89","1301","f","","","","","","","","","key","f","16.666000000000423","720","250"
"","psychophysics","100","339678","0.0-6.0-0.90","2705","f","","","","","","","","","key","f","16.66600000000015","720","250"
"","psychophysics","101","341748","0.0-6.0-0.91","2058","j","","","","","","","","","key","j","16.666000000000256","720","250"
"","psychophysics","102","343749","0.0-6.0-0.92","1997","j","","","","","","","","","key","j","16.66600000000013","720","250"
"","psychophysics","103","345249","0.0-6.0-0.93","1489","j","","","","","","","","","key","j","16.665999999999727","720","250"
"","psychophysics","104","347090","0.0-6.0-0.94","1835","f","","","","","","","","","key","f","16.666000000000377","720","250"
