"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","subname","question_order","gender","varimages","baseimage","baseimagestr","baseimagestr2","stimulus","response_type","key_press","avg_frame_time","center_x","center_y"
"","psychophysics","10","117857","0.0-6.0-0.0","2796","j","","","","","","","","","key","j","31.069544444444507","960","250"
"","psychophysics","11","119770","0.0-6.0-0.1","1910","j","","","","","","","","","key","j","31.33075000000002","960","250"
"","psychophysics","12","123185","0.0-6.0-0.2","3410","f","","","","","","","","","key","f","31.264444444444422","960","250"
"","psychophysics","13","125233","0.0-6.0-0.3","2045","j","","","","","","","","","key","j","31.410890624999865","960","250"
"","psychophysics","14","127697","0.0-6.0-0.4","2459","j","","","","","","","","","key","j","31.210282051282075","960","250"
"","psychophysics","15","130937","0.0-6.0-0.5","3236","j","","","","","","","","","key","j","31.284786407766976","960","250"
"","psychophysics","16","133833","0.0-6.0-0.6","2893","f","","","","","","","","","key","f","31.210307692307442","960","250"
"","psychophysics","17","136873","0.0-6.0-0.7","3036","f","","","","","","","","","key","f","31.229206185567087","960","250"
"","psychophysics","18","139793","0.0-6.0-0.8","2917","f","","","","","","","","","key","f","31.284119565217342","960","250"
"","psychophysics","19","141859","0.0-6.0-0.9","2061","f","","","","","","","","","key","f","31.24030769230807","960","250"
"","psychophysics","20","143409","0.0-6.0-0.10","1542","f","","","","","","","","","key","f","31.22016326530613","960","250"
"","psychophysics","21","145185","0.0-6.0-0.11","1773","j","","","","","","","","","key","j","31.342678571428614","960","250"
"","psychophysics","22","147513","0.0-6.0-0.12","2322","f","","","","","","","","","key","f","31.214972602739717","960","250"
"","psychophysics","23","149864","0.0-6.0-0.13","2348","f","","","","","","","","","key","f","31.024573333333247","960","250"
"","psychophysics","24","156105","0.0-6.0-0.14","6234","f","","","","","","","","","key","f","31.156452261306633","960","250"
"","psychophysics","25","159531","0.0-6.0-0.15","3422","f","","","","","","","","","key","f","31.246412844036666","960","250"
"","psychophysics","26","162449","0.0-6.0-0.16","2915","j","","","","","","","","","key","j","31.178543478260625","960","250"
"","psychophysics","27","164730","0.0-6.0-0.17","2278","f","","","","","","","","","key","f","31.202958904109476","960","250"
"","psychophysics","28","168968","0.0-6.0-0.18","4235","f","","","","","","","","","key","f","31.126170370370556","960","250"
"","psychophysics","29","170905","0.0-6.0-0.19","1933","f","","","","","","","","","key","f","31.040295081967432","960","250"
"","psychophysics","30","173874","0.0-6.0-0.20","2966","j","","","","","","","","","key","j","31.285063829787255","960","250"
"","psychophysics","31","176465","0.0-6.0-0.21","2587","j","","","","","","","","","key","j","31.16402439024369","960","250"
"","psychophysics","32","178680","0.0-6.0-0.22","2211","j","","","","","","","","","key","j","31.269214285714302","960","250"
"","psychophysics","33","180737","0.0-6.0-0.23","2053","j","","","","","","","","","key","j","31.24984615384601","960","250"
"","psychophysics","34","182729","0.0-6.0-0.24","1989","f","","","","","","","","","key","f","31.344677419354763","960","250"
"","psychophysics","35","184779","0.0-6.0-0.25","2046","f","","","","","","","","","key","f","31.195246153846025","960","250"
"","psychophysics","36","186329","0.0-6.0-0.26","1545","j","","","","","","","","","key","j","31.25897959183678","960","250"
"","psychophysics","37","189025","0.0-6.0-0.27","2692","j","","","","","","","","","key","j","31.251294117647237","960","250"
"","psychophysics","38","191610","0.0-6.0-0.28","2576","j","","","","","","","","","key","j","31.305682926829167","960","250"
"","psychophysics","39","193634","0.0-6.0-0.29","2018","f","","","","","","","","","key","f","31.25038095238103","960","250"
"","psychophysics","40","195578","0.0-6.0-0.30","1941","j","","","","","","","","","key","j","31.22324193548411","960","250"
"","psychophysics","41","197057","0.0-6.0-0.31","1476","f","","","","","","","","","key","f","29.2342244897956","960","250"
"","psychophysics","42","198450","0.0-6.0-0.32","1389","j","","","","","","","","","key","j","30.896340909090544","960","250"
"","psychophysics","43","199849","0.0-6.0-0.33","1395","f","","","","","","","","","key","f","31.34577272727223","960","250"
"","psychophysics","44","201153","0.0-6.0-0.34","1298","j","","","","","","","","","key","j","31.111658536584866","960","250"
"","psychophysics","45","202426","0.0-6.0-0.35","1269","f","","","","","","","","","key","f","31.316512820513125","960","250"
"","psychophysics","46","203938","0.0-6.0-0.36","1509","f","","","","","","","","","key","f","31.261520833333027","960","250"
"","psychophysics","47","205450","0.0-6.0-0.37","1509","f","","","","","","","","","key","f","31.206531914893507","960","250"
"","psychophysics","48","206970","0.0-6.0-0.38","1516","f","","","","","","","","","key","f","31.219249999999494","960","250"
"","psychophysics","49","208356","0.0-6.0-0.39","1382","f","","","","","","","","","key","f","31.208790697674484","960","250"
"","psychophysics","50","209858","0.0-6.0-0.40","1490","f","","","","","","","","","key","f","30.53183333333315","960","250"
"","psychophysics","51","211363","0.0-6.0-0.41","1502","f","","","","","","","","","key","f","31.152937499999705","960","250"
"","psychophysics","52","213226","0.0-6.0-0.42","1858","f","","","","","","","","","key","f","31.273879310344988","960","250"
"","psychophysics","53","214930","0.0-6.0-0.43","1700","f","","","","","","","","","key","f","31.26112962962954","960","250"
