"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","subname","question_order","gender","varimages","baseimage","baseimagestr","baseimagestr2","stimulus","response_type","key_press","avg_frame_time","center_x","center_y"
"","psychophysics","12","50973","0.0-6.0-0.2","3587","j","","","","","","","","","key","j","16.672897196261683","720","250"
"","psychophysics","13","54942","0.0-6.0-0.3","3961","j","","","","","","","","","key","j","16.632911392405063","720","250"
"","psychophysics","14","57370","0.0-6.0-0.4","2421","j","","","","","","","","","key","j","16.6","720","250"
"","psychophysics","15","60762","0.0-6.0-0.5","3386","f","","","","","","","","","key","f","16.65024630541872","720","250"
"","psychophysics","16","62969","0.0-6.0-0.6","2200","f","","","","","","","","","key","f","16.66412213740458","720","250"
"","psychophysics","17","64766","0.0-6.0-0.7","1790","j","","","","","","","","","key","j","16.635514018691588","720","250"
"","psychophysics","18","67481","0.0-6.0-0.8","2707","f","","","","","","","","","key","f","16.65432098765432","720","250"
"","psychophysics","19","70810","0.0-6.0-0.9","3320","f","","","","","","","","","key","f","16.668341708542712","720","250"
"","psychophysics","20","72562","0.0-6.0-0.10","1746","j","","","","","","","","","key","j","16.66346153846154","720","250"
"","psychophysics","21","74155","0.0-6.0-0.11","1585","j","","","","","","","","","key","j","16.670212765957448","720","250"
"","psychophysics","22","75672","0.0-6.0-0.12","1509","f","","","","","","","","","key","f","16.6","720","250"
"","psychophysics","23","77884","0.0-6.0-0.13","2204","j","","","","","","","","","key","j","16.62121212121212","720","250"
"","psychophysics","24","79419","0.0-6.0-0.14","1530","j","","","","","","","","","key","j","16.681318681318682","720","250"
"","psychophysics","25","81816","0.0-6.0-0.15","2389","f","","","","","","","","","key","f","16.65034965034965","720","250"
"","psychophysics","26","83980","0.0-6.0-0.16","2156","f","","","","","","","","","key","f","16.65891472868217","720","250"
"","psychophysics","27","85810","0.0-6.0-0.17","1821","j","","","","","","","","","key","j","16.6697247706422","720","250"
"","psychophysics","28","89416","0.0-6.0-0.18","3601","j","","","","","","","","","key","j","16.665116279069768","720","250"
"","psychophysics","29","91004","0.0-6.0-0.19","1581","j","","","","","","","","","key","j","16.670212765957448","720","250"
"","psychophysics","30","92648","0.0-6.0-0.20","1636","f","","","","","","","","","key","f","16.602040816326532","720","250"
"","psychophysics","31","95062","0.0-6.0-0.21","2406","j","","","","","","","","","key","j","16.666666666666668","720","250"
"","psychophysics","32","97171","0.0-6.0-0.22","2103","j","","","","","","","","","key","j","16.68","720","250"
"","psychophysics","33","100621","0.0-6.0-0.23","3442","f","","","","","","","","","key","f","16.640776699029125","720","250"
"","psychophysics","34","103044","0.0-6.0-0.24","2417","j","","","","","","","","","key","j","16.63448275862069","720","250"
"","psychophysics","35","105003","0.0-6.0-0.25","1950","f","","","","","","","","","key","f","16.663793103448278","720","250"
"","psychophysics","36","106748","0.0-6.0-0.26","1738","j","","","","","","","","","key","j","16.634615384615383","720","250"
"","psychophysics","37","109747","0.0-6.0-0.27","2991","f","","","","","","","","","key","f","16.670391061452513","720","250"
"","psychophysics","38","111832","0.0-6.0-0.28","2078","j","","","","","","","","","key","j","16.669354838709676","720","250"
"","psychophysics","39","113872","0.0-6.0-0.29","2031","f","","","","","","","","","key","f","16.66115702479339","720","250"
"","psychophysics","40","116509","0.0-6.0-0.30","2630","f","","","","","","","","","key","f","16.626582278481013","720","250"
"","psychophysics","41","118827","0.0-6.0-0.31","2310","f","","","","","","","","","key","f","16.666666666666668","720","250"
"","psychophysics","42","120535","0.0-6.0-0.32","1700","j","","","","","","","","","key","j","16.673267326732674","720","250"
